review_id,image_path,source_dataset,source_label,source_reference_label,model_prediction,model_confidence,model_max_logit,model_energy,probability_margin,prediction_matches_source_label,uncertainty_band,selection_reason,active_learning_rank,human_observation,reviewed_label,reviewed_action,reviewer_notes,review_status
stage02_al_0001,ml\data\raw\garbage_v2\cardboard\cardboard_35.jpg,garbage_v2,cardboard,cardboard,plastic,0.7006317973136902,4.208542823791504,-4.564315796,0.43474581837654114,FALSE,medium_uncertainty,confident_wrong_candidate,512,cardboard,cardboard,add_to_training,,reviewed
stage02_al_0002,ml\data\raw\garbage_v2\cardboard\cardboard_676.jpg,garbage_v2,cardboard,cardboard,plastic,0.7039944529533386,3.375469685,-3.726454496,0.47905516624450684,FALSE,medium_uncertainty,confident_wrong_candidate,515,cardboard,cardboard,add_to_training,,reviewed
stage02_al_0003,ml\data\raw\garbage_v2\cardboard\cardboard_730.jpg,garbage_v2,cardboard,cardboard,metal,0.7075309157371521,2.6713690757751465,-3.017343044,0.4502713978290558,FALSE,medium_uncertainty,confident_wrong_candidate,517,cardboard,cardboard,add_to_training,,reviewed
stage02_al_0004,ml\data\raw\garbage_v2\cardboard\cardboard_861.jpg,garbage_v2,cardboard,cardboard,paper,0.7104170322418213,4.950427055358887,-5.292330265,0.4618190675973892,FALSE,medium_uncertainty,confident_wrong_candidate,520,cardboard,cardboard,add_to_training,,reviewed
stage02_al_0005,ml\data\raw\garbage_v2\cardboard\cardboard_573.jpg,garbage_v2,cardboard,cardboard,metal,0.7118549346923828,2.641932249069214,-2.981813431,0.5501966774463654,FALSE,medium_uncertainty,confident_wrong_candidate,521,cardboard,cardboard,add_to_training,,reviewed
stage02_al_0006,ml\data\raw\garbage_v2\cardboard\cardboard_1405.jpg,garbage_v2,cardboard,cardboard,metal,0.7136400938034058,2.1183297634124756,-2.455706358,0.5641436725854874,FALSE,medium_uncertainty,confident_wrong_candidate,524,cardboard,cardboard,add_to_training,,reviewed
stage02_al_0007,ml\data\raw\garbage_v2\cardboard\cardboard_38.jpg,garbage_v2,cardboard,cardboard,plastic,0.7172590494155884,3.3602488040924072,-3.692566872,0.4579898715019226,FALSE,medium_uncertainty,confident_wrong_candidate,527,cardboard,cardboard,add_to_training,,reviewed
stage02_al_0008,ml\data\raw\garbage_v2\cardboard\cardboard_401.jpg,garbage_v2,cardboard,cardboard,plastic,0.7173868417739868,1.8274890184402466,-2.159629107,0.5590471029281616,FALSE,medium_uncertainty,confident_wrong_candidate,528,cardboard,cardboard,add_to_training,,reviewed
stage02_al_0009,ml\data\raw\garbage_v2\cardboard\cardboard_658.jpg,garbage_v2,cardboard,cardboard,paper,0.7176774144172668,2.941661834716797,-3.273396969,0.4890977591276169,FALSE,medium_uncertainty,confident_wrong_candidate,529,cardboard,cardboard,add_to_training,,reviewed
stage02_al_0010,ml\data\raw\garbage_v2\cardboard\cardboard_562.jpg,garbage_v2,cardboard,cardboard,plastic,0.7214263081550598,2.867377281188965,-3.193902254,0.5909799784421921,FALSE,medium_uncertainty,confident_wrong_candidate,531,cardboard,cardboard,add_to_training,,reviewed
stage02_al_0011,ml\data\raw\garbage_v2\cardboard\cardboard_784.jpg,garbage_v2,cardboard,cardboard,paper,0.7218671441078186,3.182694673538208,-3.508608818,0.5125480741262436,FALSE,medium_uncertainty,confident_wrong_candidate,532,cardboard,cardboard,add_to_training,,reviewed
stage02_al_0012,ml\data\raw\garbage_v2\cardboard\cardboard_33.jpg,garbage_v2,cardboard,cardboard,plastic,0.722426176,2.8415379524230957,-3.166677952,0.5134353637695312,FALSE,medium_uncertainty,confident_wrong_candidate,533,cardboard,cardboard,add_to_training,,reviewed
stage02_al_0013,ml\data\raw\garbage_v2\cardboard\cardboard_182.jpg,garbage_v2,cardboard,cardboard,plastic,0.7263930439949036,3.501800775527954,-3.821464777,0.4587898850440979,FALSE,medium_uncertainty,confident_wrong_candidate,538,cardboard,cardboard,add_to_training,,reviewed
stage02_al_0014,ml\data\raw\garbage_v2\cardboard\cardboard_969.jpg,garbage_v2,cardboard,cardboard,plastic,0.7271769046783447,4.024739742279053,-4.343325138,0.573216125,FALSE,medium_uncertainty,confident_wrong_candidate,539,cardboard,cardboard,add_to_training,,reviewed
