review_id,image_path,source_dataset,source_label,source_reference_label,model_prediction,model_confidence,model_max_logit,model_energy,probability_margin,prediction_matches_source_label,uncertainty_band,selection_reason,active_learning_rank,human_observation,reviewed_label,reviewed_action,reviewer_notes,review_status
stage03_al_0001,ml\data\raw\trashbox\cardboard\cardboard 1750.jpg,trashbox,cardboard,cardboard,paper,0.7041201591491699,7.205147743225098,-7.555953979,0.40824928879737854,FALSE,medium_uncertainty,confident_wrong_candidate,997,cardboard,cardboard,add_to_training,,reviewed
stage03_al_0002,ml\data\raw\trashbox\cardboard\cardboard 1018.jpg,trashbox,cardboard,cardboard,paper,0.7046117186546326,4.705628395080566,-5.055737019,0.4160895347595215,FALSE,medium_uncertainty,confident_wrong_candidate,999,cardboard,cardboard,add_to_training,,reviewed
stage03_al_0003,ml\data\raw\trashbox\cardboard\cardboard 531.jpg,trashbox,cardboard,cardboard,paper,0.7049583196640015,8.798990249633789,-9.148607254,0.4099176526069641,FALSE,medium_uncertainty,confident_wrong_candidate,1002,cardboard,cardboard,add_to_training,,reviewed
stage03_al_0004,ml\data\raw\trashbox\cardboard\cardboard 1355.jpg,trashbox,cardboard,cardboard,paper,0.7098346948623657,5.221763610839844,-5.564486504,0.4204728305339813,FALSE,medium_uncertainty,confident_wrong_candidate,1016,cardboard,cardboard,add_to_training,,reviewed
stage03_al_0005,ml\data\raw\trashbox\cardboard\cardboard 1617.jpg,trashbox,cardboard,cardboard,paper,0.7125301361083984,4.915165901184082,-5.254098892,0.42798447608947754,FALSE,medium_uncertainty,confident_wrong_candidate,1021,cardboard,cardboard,add_to_training,,reviewed
stage03_al_0006,ml\data\raw\trashbox\cardboard\cardboard 1651.jpg,trashbox,cardboard,cardboard,paper,0.7133746147155762,7.257833480834961,-7.595582008,0.4268001317977905,FALSE,medium_uncertainty,confident_wrong_candidate,1023,cardboard,cardboard,add_to_training,,reviewed
stage03_al_0007,ml\data\raw\trashbox\cardboard\cardboard 1525.jpg,trashbox,cardboard,cardboard,paper,0.7155294418334961,6.968053340911865,-7.302785873,0.4311118721961975,FALSE,medium_uncertainty,confident_wrong_candidate,1027,cardboard,cardboard,add_to_training,,reviewed
stage03_al_0008,ml\data\raw\trashbox\cardboard\cardboard 1209.jpg,trashbox,cardboard,cardboard,paper,0.7197369337081909,6.000776767730713,-6.329646111,0.43972712755203247,FALSE,medium_uncertainty,confident_wrong_candidate,1038,cardboard,cardboard,add_to_training,,reviewed
stage03_al_0009,ml\data\raw\trashbox\cardboard\cardboard 632.jpg,trashbox,cardboard,cardboard,paper,0.7243515849113464,2.6517398357391357,-2.97421813,0.5081539154052734,FALSE,medium_uncertainty,confident_wrong_candidate,1046,cardboard,cardboard,add_to_training,,reviewed
stage03_al_0010,ml\data\raw\trashbox\cardboard\cardboard 617.jpg,trashbox,cardboard,cardboard,paper,0.7243515849113464,2.6517398357391357,-2.97421813,0.5081539154052734,FALSE,medium_uncertainty,confident_wrong_candidate,1047,cardboard,cardboard,add_to_training,,reviewed
stage03_al_0011,ml\data\raw\trashbox\cardboard\cardboard 1858.jpg,trashbox,cardboard,cardboard,paper,0.7255895733833313,6.787151814,-7.107922554,0.4511928856372833,FALSE,medium_uncertainty,confident_wrong_candidate,1050,cardboard,cardboard,add_to_training,,reviewed
stage03_al_0012,ml\data\raw\trashbox\cardboard\cardboard 1728.jpg,trashbox,cardboard,cardboard,paper,0.7277035117149353,6.238942623138428,-6.55680418,0.4554881453514099,FALSE,medium_uncertainty,confident_wrong_candidate,1057,cardboard,cardboard,add_to_training,,reviewed
stage03_al_0013,ml\data\raw\trashbox\cardboard\cardboard 1604.jpg,trashbox,cardboard,cardboard,paper,0.7342758178710938,10.123598098754883,-10.43246841,0.4685519337654114,FALSE,medium_uncertainty,confident_wrong_candidate,1060,cardboard,cardboard,add_to_training,,reviewed
