review_id,image_path,source_dataset,source_label,source_reference_label,model_prediction,model_confidence,model_max_logit,model_energy,probability_margin,prediction_matches_source_label,uncertainty_band,selection_reason,active_learning_rank,human_observation,reviewed_label,reviewed_action,reviewer_notes,review_status
stage01_al_0001,ml\data\raw\realwaste\Cardboard\Cardboard_366.jpg,realwaste,cardboard,cardboard,paper,0.702888548374176,3.6339755058288574,-3.98653244972229,0.4137538969516754,false,medium_uncertainty,confident_wrong_candidate,495,,,,,pending_review
stage01_al_0002,ml\data\raw\realwaste\Cardboard\Cardboard_142.jpg,realwaste,cardboard,cardboard,plastic,0.7112745046615601,4.411994934082031,-4.752691745758057,0.42636004090309143,false,medium_uncertainty,confident_wrong_candidate,509,,,,,pending_review
stage01_al_0003,ml\data\raw\realwaste\Cardboard\Cardboard_171.jpg,realwaste,cardboard,cardboard,plastic,0.7157458066940308,4.046895503997803,-4.381325721740723,0.44282957911491394,false,medium_uncertainty,confident_wrong_candidate,517,,,,,pending_review
stage01_al_0004,ml\data\raw\realwaste\Cardboard\Cardboard_210.jpg,realwaste,cardboard,cardboard,plastic,0.7179426550865173,2.2196736335754395,-2.551039218902588,0.5923169851303101,false,medium_uncertainty,confident_wrong_candidate,519,,,,,pending_review
stage01_al_0005,ml\data\raw\realwaste\Cardboard\Cardboard_148.jpg,realwaste,cardboard,cardboard,metal,0.7250874042510986,3.5509328842163086,-3.8723959922790527,0.4606098532676697,false,medium_uncertainty,confident_wrong_candidate,533,,,,,pending_review
stage01_al_0006,ml\data\raw\realwaste\Cardboard\Cardboard_384.jpg,realwaste,cardboard,cardboard,metal,0.7289158701896667,4.03399133682251,-4.350188255310059,0.5722300410270691,false,medium_uncertainty,confident_wrong_candidate,540,,,,,pending_review
stage01_al_0007,ml\data\raw\realwaste\Cardboard\Cardboard_267.jpg,realwaste,cardboard,cardboard,plastic,0.7289799451828003,3.600715398788452,-3.9168243408203125,0.4810164272785187,false,medium_uncertainty,confident_wrong_candidate,541,,,,,pending_review
stage01_al_0008,ml\data\raw\realwaste\Cardboard\Cardboard_245.jpg,realwaste,cardboard,cardboard,plastic,0.7370375990867615,4.4244914054870605,-4.729607582092285,0.4789835214614868,false,medium_uncertainty,confident_wrong_candidate,552,,,,,pending_review
stage01_al_0009,ml\data\raw\realwaste\Cardboard\Cardboard_347.jpg,realwaste,cardboard,cardboard,plastic,0.7394688129425049,2.6672725677490234,-2.9690957069396973,0.5656013786792755,false,medium_uncertainty,confident_wrong_candidate,562,,,,,pending_review
stage01_al_0010,ml\data\raw\realwaste\Cardboard\Cardboard_126.jpg,realwaste,cardboard,cardboard,paper,0.745171070098877,4.967281818389893,-5.261423110961914,0.49106359481811523,false,medium_uncertainty,confident_wrong_candidate,571,,,,,pending_review
stage01_al_0011,ml\data\raw\realwaste\Cardboard\Cardboard_354.jpg,realwaste,cardboard,cardboard,paper,0.7473911046981812,3.761134386062622,-4.052300930023193,0.5071568638086319,false,medium_uncertainty,confident_wrong_candidate,578,,,,,pending_review
stage01_al_0012,ml\data\raw\realwaste\Cardboard\Cardboard_358.jpg,realwaste,cardboard,cardboard,paper,0.7505452632904053,5.728950500488281,-6.015905857086182,0.5013743937015533,false,medium_uncertainty,confident_wrong_candidate,583,,,,,pending_review
stage01_al_0013,ml\data\raw\realwaste\Cardboard\Cardboard_67.jpg,realwaste,cardboard,cardboard,paper,0.7508760094642639,4.078197479248047,-4.364712238311768,0.5215517580509186,false,medium_uncertainty,confident_wrong_candidate,584,,,,,pending_review
stage01_al_0014,ml\data\raw\realwaste\Cardboard\Cardboard_83.jpg,realwaste,cardboard,cardboard,plastic,0.7594422698020935,2.8122425079345703,-3.0874135494232178,0.5497814118862152,false,medium_uncertainty,confident_wrong_candidate,597,,,,,pending_review
stage01_al_0015,ml\data\raw\realwaste\Cardboard\Cardboard_349.jpg,realwaste,cardboard,cardboard,metal,0.7624410390853882,2.703261137008667,-2.9744911193847656,0.6269034594297409,false,medium_uncertainty,confident_wrong_candidate,604,,,,,pending_review
stage01_al_0016,ml\data\raw\realwaste\Glass\Glass_181.jpg,realwaste,glass,glass,metal,0.7063049077987671,2.426409959793091,-2.774118185043335,0.552589625120163,false,medium_uncertainty,confident_wrong_candidate,501,,,,,pending_review
stage01_al_0017,ml\data\raw\realwaste\Glass\Glass_158.jpg,realwaste,glass,glass,cardboard,0.7071036100387573,2.839057445526123,-3.185635566711426,0.4499035179615021,false,medium_uncertainty,confident_wrong_candidate,502,,,,,pending_review
stage01_al_0018,ml\data\raw\realwaste\Glass\Glass_115.jpg,realwaste,glass,glass,plastic,0.7099617123603821,3.632354259490967,-3.97489857673645,0.5320571511983871,false,medium_uncertainty,confident_wrong_candidate,505,,,,,pending_review
stage01_al_0019,ml\data\raw\realwaste\Glass\Glass_20.jpg,realwaste,glass,glass,metal,0.7102515697479248,1.8928983211517334,-2.235034465789795,0.5342779755592346,false,medium_uncertainty,confident_wrong_candidate,506,,,,,pending_review
stage01_al_0020,ml\data\raw\realwaste\Glass\Glass_123.jpg,realwaste,glass,glass,metal,0.7122309803962708,4.023204326629639,-4.362557411193848,0.4580313563346863,false,medium_uncertainty,confident_wrong_candidate,511,,,,,pending_review
stage01_al_0021,ml\data\raw\realwaste\Glass\Glass_211.jpg,realwaste,glass,glass,cardboard,0.7139413952827454,1.835946798324585,-2.172901153564453,0.623088501393795,false,medium_uncertainty,confident_wrong_candidate,514,,,,,pending_review
